Keyword;Position;Previous position;Search Volume;Keyword Difficulty;CPC;URL;Traffic;Traffic (%);Traffic Cost;Competition;Number of Results;Trends;Timestamp;SERP Features by Keyword;Keyword Intents;Position Type
metaphysical properties of unakite;47;47;90;28;0.00;https://rezagemcollection.ca/blogs/news/unakite-meaning-properties-and-uses-unakite;0;0;0.00;0.02;117000;[50,35,35,35,50,78,78,50,100,78,78,100];2025-09-05;Video, People also ask, Related searches, AI overview;informational;Organic
benefits of sunstone;35;35;70;14;0.00;https://rezagemcollection.ca/blogs/news/sunstone-crystal-healing-properties-benefits-and-meaning;0;0;0.00;0.01;1630000;[100,100,100,100,77,77,77,77,55,55,77,100];2025-09-08;Video, People also ask, Related searches, AI overview;informational;Organic
beads by beads;41;87;320;40;0.86;https://rezagemcollection.ca/collections/beads;0;0;0.00;0.99;361000000;[0,44,29,29,100,29,100,100,100,54,0,0];2025-11-27;Sitelinks, Video, Image, Video Carousel, Related searches;commercial;Organic
bead size guide;24;24;70;22;0.00;https://rezagemcollection.ca/pages/beads-size-chart;0;0;0.00;0.18;88200000;[81,63,63,63,63,63,81,63,45,63,63,81];2025-09-07;Image pack, Video, Image, People also ask, Related searches, AI overview;informational;Organic
pink tourmaline stone meaning;40;40;140;18;0.00;https://rezagemcollection.ca/blogs/news/pink-tourmaline-meaning-healing-properties-and-more;0;0;0.00;0.01;2140000;[66,66,52,66,66,42,66,52,66,66,52,52];2025-08-26;Image pack, Video, Image, People also ask, Related searches, AI overview;commercial, informational;Organic
size chart for beads;29;29;70;29;0.00;https://rezagemcollection.ca/pages/beads-size-chart;0;0;0.00;0.18;47500000;[42,33,33,33,33,33,42,33,23,33,42,33];2025-08-26;Image pack, Video, Featured snippet, Image, People also ask, Popular products, Related searches, AI overview;commercial, informational;Organic
beading supplies toronto;30;30;590;41;0.42;https://rezagemcollection.ca/;0;0;0.00;0.77;112000;[88,59,48,88,59,59,21,17,59,48,88,88];2025-09-28;Local pack, Sitelinks, Video, Image, Related searches;commercial;Organic
what is august gemstone;17;17;320;39;0.15;https://rezagemcollection.ca/collections/august-birthstone;0;0;0.00;0.54;457000000;[2,44,54,81,66,44,9,36,29,19,81,100];2025-11-26;Sitelinks, Video, People also ask, Related searches, AI overview;informational;Organic
birthstone october;63;63;480;39;0.18;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.43;4680000;[48,48,100,48,59,39,39,32,39,39,39,48];2025-09-11;Sitelinks, Video, People also ask, Related searches, AI overview;informational;Organic
quartz crystals;46;46;210;49;0.40;https://rezagemcollection.ca/collections/quartz;0;0;0.00;0.89;96000000;[0,1,16,1,13,10,10,6,55,10,8,13];2025-10-24;Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
ruby rings women;78;78;140;12;0.45;https://rezagemcollection.ca/collections/ruby-ring;0;0;0.00;1;20700000;[0,0,66,43,100,66,66,12,7,17,17,35];2025-10-27;Sitelinks, Video, Image, People also ask, Popular products, Related searches;transactional;Organic
beads online shopping canada;58;58;70;44;0.59;https://rezagemcollection.ca/;0;0;0.00;0.95;20100000;[63,63,63,63,63,63,63,63,81,63,63,81];2025-09-06;Image pack, Sitelinks, Video, Image, Popular products, Related searches;commercial;Organic
what color october birthstone;24;24;50;32;0.11;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.21;3500000;[35,21,64,50,28,100,50,50,50,0,50,0];2025-09-03;Image pack, Sitelinks, Video, Related searches, AI overview;informational;Organic
ruby the gemstone;46;46;210;37;0.52;https://rezagemcollection.ca/collections/ruby-gemstone-beads;0;0;0.00;0.92;10;[15,12,12,15,19,15,12,66,100,15,15,19];2025-11-25;Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview;commercial, informational;Organic
what is yooperlite;15;15;110;31;0.00;https://rezagemcollection.ca/collections/yooperlite;0;0;0.00;0.13;254000;[3,3,3,3,3,3,18,3,44,100,35,18];2025-11-26;Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, See results about, AI overview;informational;Organic
what is yooperlite;45;45;110;31;0.00;https://rezagemcollection.ca/blogs/news/yooperlite-the-glow-in-the-dark-wonder-rock-and-its-unique-uses;0;0;0.00;0.13;254000;[3,3,3,3,3,3,18,3,44,100,35,18];2025-11-26;Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, See results about, AI overview;informational;Organic
what is yooperlite;59;59;110;31;0.00;https://rezagemcollection.ca/blogs/news/yooperlite-the-glow-in-the-dark-wonder-rock-and-its-unique-uses;0;0;0.00;0.13;254000;[3,3,3,3,3,3,18,3,44,100,35,18];2025-11-26;Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, See results about, AI overview;informational;Organic
birthstone for october;56;56;480;20;0.18;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.53;4060000;[30,36,45,67,45,45,30,24,24,20,30,36];2025-09-08;Sitelinks, Video, People also ask, Related searches, AI overview;informational;Organic
real pearls;41;41;320;32;0.30;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;1;134000000;[54,54,54,44,28,66,100,54,44,54,54,44];2025-09-04;Image pack, Sitelinks, Video, Image, Popular products, Related searches;commercial, informational;Organic
store gems;51;51;170;49;0.00;https://rezagemcollection.ca/;0;0;0.00;0;192000000;[81,81,54,66,2,0,0,2,2,2,2,2];2025-09-03;Local pack, Sitelinks, Video, Image, Popular products, Related searches;commercial;Organic
ruby and zoisite;9;9;260;19;0.95;https://rezagemcollection.ca/collections/zoisite-gemstone-beads;0;0;0.00;0.44;1070000;[43,66,66,100,81,54,66,35,66,35,35,81];2025-11-18;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview;commercial;Organic
wholesale gemstones canada;30;30;90;34;0.73;https://rezagemcollection.ca/;0;0;0.00;1;5040000;[52,66,42,33,42,42,52,42,52,33,33,33];2025-09-02;Local pack, Image pack, Sitelinks, Video, Image, Popular products, Related searches;commercial;Organic
wholesale gemstones canada;92;92;90;34;0.73;https://rezagemcollection.ca/products/gemstone-and-jewellery-wholesale-shopping-canada;0;0;0.00;1;5040000;[52,66,42,33,42,42,52,42,52,33,33,33];2025-09-02;Local pack, Image pack, Sitelinks, Video, Image, Popular products, Related searches;commercial;Image pack
august precious stone;66;66;320;32;0.28;https://rezagemcollection.ca/collections/august-birthstone;0;0;0.00;0.88;35900000;[32,32,32,48,26,14,32,39,26,17,32,48];2025-11-05;Sitelinks, Video, Featured snippet, Image, Video Carousel, People also ask, Related searches;commercial, informational;Organic
birthstones for october;66;66;140;12;0.18;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.53;5220000;[2,11,26,39,48,14,11,2,0,1,4,1];2025-08-31;Image pack, Sitelinks, Video, Popular products, Related searches, AI overview;commercial, informational;Organic
jewellery making items;57;57;480;28;0.65;https://rezagemcollection.ca/blogs/news/jewelry-making-supplies-checklist-everything-you-need-to-get-started;0;0;0.00;1;125000000;[81,81,66,66,81,81,66,44,66,81,66,44];2025-09-01;Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums, AI overview;informational, transactional;Organic
october's birthstone;70;70;170;31;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.37;4670000;[12,0,17,43,0,0,23,66,100,66,66,100];2025-09-08;Image pack, Sitelinks, Video, People also ask, Related searches, AI overview;informational;Organic
ruby with zoisite;34;34;50;19;0.30;https://rezagemcollection.ca/blogs/news/ruby-zoisite-meaning;0;0;0.00;0.48;1140000;[66,66,66,80,0,0,0,0,0,0,0,0];2025-09-09;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
calcite orange meaning;21;21;70;15;0.00;https://rezagemcollection.ca/collections/calcite-gemstone-beads;0;0;0.00;0;493000;[50,50,50,50,50,78,64,50,78,50,50,14];2025-09-10;Image pack, Sitelinks, Video, People also ask, Related searches, AI overview;informational;Organic
beads with crystals;89;89;320;14;0.61;https://rezagemcollection.ca/collections/beads;0;0;0.00;1;22500000;[81,100,81,81,81,81,81,66,54,81,54,43];2025-09-06;Image pack, Video, Image, Video Carousel, Popular products, Related searches;informational;Organic
what birthstone is october;47;47;90;29;0.23;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.13;3590000;[52,41,41,82,64,82,64,41,41,41,52,82];2025-09-02;Sitelinks, Video, Related searches, AI overview;informational;Organic
topaz beads & studio;26;26;70;16;0.00;https://rezagemcollection.ca/collections/topaz-gemstone-beads;0;0;0.00;0.15;59;[100,18,18,81,63,81,63,81,81,81,81,100];2025-09-07;Knowledge panel, Image pack, Sitelinks, Video, Related searches;informational, transactional;Organic
dark blue jewelry stone;10;10;70;16;0.00;https://rezagemcollection.ca/collections/blue-gemstones;0;0;0.00;0.37;30900000;[0,0,52,66,0,4,0,52,66,66,66,66];2025-09-09;Image pack, Video, Image, People also ask, Popular products, Related searches;informational;Organic
daylight yooperlite rock;13;13;50;5;0.00;https://rezagemcollection.ca/collections/yooperlite;0;0;0.00;0.29;15100;[11,41,11,23,100,52,11,11,52,11,11,11];2025-09-04;Image pack, Video, Related searches, AI overview;informational;Organic
daylight yooperlite rock;39;39;50;5;0.00;https://rezagemcollection.ca/blogs/news/yooperlite-the-glow-in-the-dark-wonder-rock-and-its-unique-uses;0;0;0.00;0.29;15100;[11,41,11,23,100,52,11,11,52,11,11,11];2025-09-04;Image pack, Video, Related searches, AI overview;informational;Organic
turquoise gemstone ring;18;18;90;11;0.36;https://rezagemcollection.ca/blogs/news/custom-turquoise-rings-in-canada;0;0;0.00;1;9860000;[64,64,50,100,78,50,64,78,50,50,78,64];2025-11-26;Sitelinks, Video, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
meaning tanzanite;40;40;70;40;0.00;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;0.02;4380000;[0,0,0,0,7,100,64,64,78,78,100,100];2025-08-23;Instant answer, Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches;informational;Organic
fresh water pearl;29;29;140;18;1.10;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;1;128000000;[18,22,14,14,18,43,54,14,100,14,18,14];2025-08-24;Image pack, Video, Image, Popular products, Related searches;informational;Organic
fresh water pearl;69;69;140;18;1.10;https://rezagemcollection.ca/blogs/news/freshwater-pearl-beads;0;0;0.00;1;128000000;[18,22,14,14,18,43,54,14,100,14,18,14];2025-08-24;Image pack, Video, Image, Popular products, Related searches;informational;Organic
tarzanite;84;84;50;43;0.66;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;0.88;13800000;[0,0,0,0,100,0,14,2,0,0,6,6];2025-08-22;Knowledge panel, Sitelinks, Video, Image, Popular products, Related searches;informational;Organic
precious stones for sale;71;71;70;64;0.57;https://rezagemcollection.ca/collections/green-semi-precious-stones;0;0;0.00;1;20900000;[81,63,63,81,81,81,100,81,63,81,81,18];2025-09-09;Local pack, Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;transactional;Organic
